INS,DATE,OP,HIG,LOW,CLS,VOL,TOVR,NOTR,VWAP,CIT,CIV,CITR,COT,COV,COTR,CHG,PCHG,PCLS,ANN,SACT,PRV,LTP,MCAP,BBP,BAP
0,20180102,20.7,20.7,20.7,20.7,102,2111.4,2,20.700001,0.0,0,0,2111.4,102,2,-0.3,-1.43,21.0,0,null,null,20.7,7.7625E9,20.6,21.4
0,20180103,21.2,21.2,21.2,21.2,1998,42357.6,2,21.200001,42357.6,1998,2,0.0,0,0,0.5,2.42,20.7,0,null,null,21.2,7.95E9,20.6,21.4
0,20180104,21.9,21.9,21.9,21.9,1,21.9,1,21.9,21.9,1,1,0.0,0,0,0.7,3.3,21.2,0,null,null,21.9,7.95E9,20.9,21.9
0,20180105,21.9,21.9,20.9,21.0,3200,67330.0,5,21.040001,46330.0,2200,4,21000.0,1000,1,-0.2,-0.94,21.2,0,null,null,21.0,7.875E9,20.9,21.9
0,20180108,21.9,23.5,21.9,22.0,54593,1242741.2,58,22.76,1022511.2,44693,48,220230.0,9900,10,1.0,4.76,21.0,0,null,null,22.0,8.2875E9,21.2,22.5
0,20180110,22.0,22.0,21.6,21.6,1651,35746.3,5,21.65,0.0,0,0,35746.3,1651,5,-0.5,-2.26,22.1,0,null,null,21.6,8.1E9,21.3,22.5
0,20180111,21.4,21.5,21.0,21.4,25400,544174.0,10,21.42,525250.0,24500,7,18924.0,900,3,-0.2,-0.93,21.6,0,null,null,21.4,8.0625E9,21.0,22.4
0,20180112,22.4,22.4,21.0,21.4,38068,812782.2,8,21.35,12228.2,568,3,800553.99,37500,5,-0.1,-0.47,21.5,0,null,null,21.4,8.025E9,21.0,22.3
0,20180116,21.0,21.6,20.5,21.6,13400,279730.0,8,20.879999,0.0,0,0,279730.0,13400,8,0.2,0.93,21.4,0,null,null,21.6,7.8E9,20.6,22.3
0,20180117,21.0,22.0,21.0,21.4,12700,271650.0,4,21.389999,261150.0,12200,3,10500.0,500,1,0.6,2.88,20.8,0,null,null,21.4,8.025E9,20.6,22.0
0,20180118,21.5,21.5,21.5,21.5,17,365.5,1,21.5,365.5,17,1,0.0,0,0,0.1,0.47,21.4,0,null,null,21.5,8.025E9,20.6,21.5
0,20180122,21.9,22.5,21.9,22.5,22138,496102.5,33,22.41,496102.5,22138,33,0.0,0,0,1.1,5.14,21.4,0,null,null,22.5,8.4375E9,21.1,22.5
0,20180124,22.5,22.8,22.0,22.5,515697,1.166358E7,35,22.620001,1.074594235E7,474913,16,917637.5,40784,19,0.0,0.0,22.5,0,null,null,22.5,8.4375E9,21.1,22.9
0,20180125,22.8,22.8,22.5,22.5,5767,129763.5,3,22.5,130219.5,5787,4,0.0,0,0,0.0,0.0,22.5,0,null,null,22.5,8.4375E9,21.1,22.9
0,20180126,22.5,22.5,22.0,22.0,62940,1388150.0,5,22.059999,266150.0,11940,3,1122000.0,51000,2,-0.5,-2.22,22.5,0,null,null,22.0,8.25E9,21.7,22.5
0,20180129,22.4,22.4,22.4,22.4,2100,47040.0,2,22.4,47040.0,2100,2,0.0,0,0,0.4,1.82,22.0,0,null,null,22.4,8.4E9,21.8,22.5
0,20180130,22.4,22.4,22.0,22.0,186695,4107330.0,7,22.0,6640.0,300,2,4100690.0,186395,5,-0.4,-1.79,22.4,0,null,null,22.0,8.25E9,21.8,22.4
0,20180202,22.5,23.5,22.5,23.0,11404,261174.0,13,22.9,254274.0,11104,12,6900.0,300,1,1.0,4.55,22.0,0,null,null,23.0,8.7375E9,22.1,23.5
0,20180206,22.1,22.2,22.1,22.2,1400,31040.0,2,22.17,0.0,0,0,31040.0,1400,2,-1.1,-4.72,23.3,0,null,null,22.2,8.325E9,22.1,23.0
0,20180207,22.1,22.1,22.1,22.1,100,2210.0,1,22.1,2210.0,100,1,0.0,0,0,-0.1,-0.45,22.2,0,null,null,22.1,8.2875E9,21.7,23.0
0,20180208,21.7,21.7,21.0,21.0,1100,23715.5,5,21.559999,0.0,0,0,23715.5,1100,5,-1.1,-4.98,22.1,0,null,null,21.0,8.1E9,21.0,22.8
0,20180214,21.6,23.5,21.6,23.0,101898,2380955.7,88,23.370001,1933049.69,82667,60,447906.0,19231,28,1.4,6.48,21.6,0,null,null,23.0,8.775E9,21.1,23.8
0,20180215,23.8,24.0,22.3,23.0,121094,2812541.0,72,23.23,1792596.5,76401,47,1393165.0,60920,33,-0.4,-1.71,23.4,0,null,null,23.0,8.625E9,22.0,23.6
0,20180216,23.6,23.6,22.5,23.0,289033,6593561.7,65,22.809999,1533205.22,65323,50,5060356.49,223710,15,0.0,0.0,23.0,0,null,null,23.0,8.55E9,22.7,23.3
0,20180219,23.3,23.3,22.5,22.5,182910,4122121.5,32,22.540001,2593846.99,115090,13,1528274.51,67820,19,-0.3,-1.32,22.8,0,null,null,22.5,8.4375E9,22.1,23.3
0,20180220,22.1,22.9,22.1,22.9,28001,630059.5,12,22.5,28239.5,1255,8,601820.0,26746,4,0.4,1.78,22.5,0,null,null,22.9,8.4375E9,22.5,22.9
0,20180221,22.9,23.0,22.9,23.0,1830,42080.0,6,22.99,28165.0,1225,4,13915.0,605,2,0.5,2.22,22.5,0,null,null,23.0,8.625E9,22.8,23.2
0,20180222,22.8,22.9,22.6,22.6,10825,244797.5,7,22.610001,2290.0,100,1,242507.5,10725,6,-0.4,-1.74,23.0,0,null,null,22.6,8.475E9,22.5,22.9
0,20180223,22.9,22.9,22.6,22.6,1032,23341.2,7,22.620001,1374.0,60,2,21967.2,972,5,0.0,0.0,22.6,0,null,null,22.6,8.475E9,22.5,22.9
0,20180226,22.7,22.7,22.5,22.5,15347,346319.4,9,22.57,0.0,0,0,346319.4,15347,9,-0.1,-0.44,22.6,0,null,null,22.5,8.4375E9,22.3,22.9
0,20180227,22.6,22.9,22.6,22.9,1900,43201.0,6,22.74,43201.0,1900,6,0.0,0,0,0.4,1.78,22.5,0,null,null,22.9,8.5875E9,22.5,22.9
0,20180228,22.9,23.4,22.6,22.6,277073,6305584.0,55,22.76,1282516.09,55851,41,5023068.06,221222,14,-0.3,-1.31,22.9,0,null,null,22.6,8.5125E9,22.5,23.0
